Linear Acc: [-0.12, -0.02, -0.45]
Rotational Acc: [0.0625, 0.0625, 0.0]

Linear Acc: [0.0, -0.03, -0.23]
Rotational Acc: [0.0, 0.0625, 0.0]

Linear Acc: [-0.03, 0.01, -0.23]
Rotational Acc: [0.0625, 0.0, -0.0625]

Linear Acc: [0.0, -0.01, -0.2]
Rotational Acc: [0.0, -0.0625, 0.0625]

Linear Acc: [-0.02, -0.02, -0.2]
Rotational Acc: [0.0, 0.0, 0.125]

Linear Acc: [0.0, -0.04, -0.26]
Rotational Acc: [-0.25, 0.0625, 0.0625]

Linear Acc: [0.01, -0.01, -0.31]
Rotational Acc: [0.0625, 0.1875, 0.0]

Linear Acc: [-0.03, -0.03, -0.27]
Rotational Acc: [0.0, -0.25, -0.0625]

Linear Acc: [-0.01, -0.03, -0.26]
Rotational Acc: [0.0, 0.0, 0.0]

Linear Acc: [0.0, -0.02, -0.23]
Rotational Acc: [-0.0625, 0.0, 0.0]

Linear Acc: [-0.01, -0.05, -0.27]
Rotational Acc: [-0.0625, 0.0625, 0.0]

Linear Acc: [-0.01, -0.02, -0.25]
Rotational Acc: [-0.125, 0.125, -0.0625]

Linear Acc: [-0.02, -0.05, -0.29]
Rotational Acc: [-0.1875, 0.0, 0.0]

Linear Acc: [0.0, -0.01, -0.25]
Rotational Acc: [-0.1875, 0.0625, -0.0625]

Linear Acc: [-0.01, -0.01, -0.29]
Rotational Acc: [0.125, 0.1875, -0.125]

Linear Acc: [-0.02, -0.04, -0.27]
Rotational Acc: [-0.0625, 0.0, -0.0625]

Linear Acc: [-0.01, 0.0, -0.26]
Rotational Acc: [0.0, -0.125, 0.0625]

Linear Acc: [0.0, -0.05, -0.19]
Rotational Acc: [-0.0625, 0.0, 0.0625]

Linear Acc: [-0.04, 0.0, -0.36]
Rotational Acc: [-0.125, -0.125, 0.0625]

Linear Acc: [-0.02, -0.02, -0.27]
Rotational Acc: [-0.1875, 0.125, -0.125]

Linear Acc: [0.0, -0.06, -0.19]
Rotational Acc: [-0.25, -0.1875, 0.1875]

Linear Acc: [-0.01, -0.06, -0.32]
Rotational Acc: [0.0625, 0.125, -0.0625]

Linear Acc: [-0.01, -0.03, -0.24]
Rotational Acc: [-0.1875, -0.0625, 0.0]

Linear Acc: [-0.02, -0.02, -0.25]
Rotational Acc: [0.1875, -0.0625, 0.0]

Linear Acc: [0.0, -0.05, -0.27]
Rotational Acc: [-0.1875, 0.0, -0.0625]

Linear Acc: [0.0, -0.03, -0.23]
Rotational Acc: [-0.0625, 0.0625, 0.125]

Linear Acc: [-0.03, -0.06, -0.25]
Rotational Acc: [0.0, -0.1875, -0.0625]

Linear Acc: [-0.02, -0.06, -0.28]
Rotational Acc: [-0.125, -0.0625, 0.0625]

Linear Acc: [-0.01, -0.05, -0.29]
Rotational Acc: [0.0, 0.0, 0.0]

Linear Acc: [-0.03, -0.05, -0.28]
Rotational Acc: [-0.125, -0.0625, -0.0625]

Linear Acc: [0.0, -0.04, -0.27]
Rotational Acc: [0.0, 0.0625, -0.0625]

Linear Acc: [0.0, -0.03, -0.29]
Rotational Acc: [-0.125, -0.0625, 0.0]

Linear Acc: [0.0, -0.02, -0.27]
Rotational Acc: [0.0625, -0.1875, 0.0]

Linear Acc: [-0.02, -0.03, -0.26]
Rotational Acc: [0.0, 0.0, -0.0625]
